PROBEID logFC AveExpr t P.Value adj.P.Val B SYMBOL GENENAME
ILMN_1763207 -5.87370950176768 8.82609977153836 -6.64194269810229 2.17148011658211e-4 0.0630728114662439 1.15533855662478 BATF3 "basic leucine zipper ATF-like transcription factor 3"
ILMN_1739001 -5.566361018386 7.61255411744684 -5.95787417586758 4.36388297876704e-4 0.0845406200192722 0.506027550962457 TACSTD2 "tumor associated calcium signal transducer 2"
ILMN_2384056 -5.47609177243312 8.65988734983169 -5.30304514945036 8.98394156262393e-4 0.108348142170358 -0.181610868713887 GPER1 "G protein-coupled estrogen receptor 1"
ILMN_2393765 -5.44584379615961 12.6884343198792 -5.88712506282641 4.7054911653997e-4 0.0887504522014283 0.434949286484787 IGLL1 "immunoglobulin lambda like polypeptide 1"
ILMN_1656310 -5.44553506707628 7.34313956944673 -10.4599735640229 9.794510679068e-6 0.0231367253597421 3.7739187189369 IDO1 "indoleamine 2,3-dioxygenase 1"
ILMN_1663390 -5.28860437716373 7.52803590519907 -8.53915455099352 4.02945167058913e-5 0.0332479367271523 2.64065578496133 CDC20 "cell division cycle 20"
ILMN_3239965 -5.27285129950938 7.62834975651552 -10.2693450632305 1.11517646160019e-5 0.0231367253597421 3.67495784188574 IDO1 "indoleamine 2,3-dioxygenase 1"
ILMN_1688959 -5.27027534206105 7.81299308357594 -8.48524822130914 4.20847109324261e-5 0.0332479367271523 2.6040295207223 CD27 "CD27 molecule"
ILMN_1768016 -5.01671333100842 7.25080974223246 -8.44449745223927 4.34972662546232e-5 0.0332479367271523 2.57614649115382 TNFRSF17 "TNF receptor superfamily member 17"
ILMN_1795298 -4.96063707917775 8.32066723211075 -5.31815518092022 8.82986621171466e-4 0.107761468061119 -0.164975538784518 GPER1 "G protein-coupled estrogen receptor 1"
ILMN_1688480 -4.88306968146288 7.14739926263564 -6.05747487335012 3.92867973827539e-4 0.0809219963521777 0.604811450083897 CCND1 "cyclin D1"
ILMN_1804339 -4.8815130209636 7.94855984592626 -7.64968931271682 8.51430121308832e-5 0.0389900586365046 1.99695909581268 CAMK1G "calcium/calmodulin dependent protein kinase IG"
ILMN_1804601 -4.69312596493898 7.60215446198988 -6.0415465471599 3.99491894591938e-4 0.0809219963521777 0.589113626501717 NA NA
ILMN_2105441 -4.60397243656129 8.51742371360129 -7.13846882982489 1.35168195500736e-4 0.0489161022638725 1.58609063815429 JCHAIN "joining chain of multimeric IgA and IgM"
ILMN_3240375 -4.51993827124667 8.63155330435265 -5.93139015725974 4.48842837986616e-4 0.0857703228431529 0.479509256988137 IGKV1ORY-1 "immunoglobulin kappa variable 1/ORY-1 (pseudogene)"
ILMN_1734878 -4.4349579463226 9.50841211936862 -9.60276451098216 1.78619314011571e-5 0.0288232033043339 3.30692189285659 CD79A "CD79a molecule"
ILMN_1811049 -4.3952608175398 7.14415576145381 -5.95744605770366 4.3658655246474e-4 0.0845406200192722 0.505599722447693 POU2AF1 "POU class 2 associating factor 1"
ILMN_1759075 -4.37387382492025 7.520624239535 -4.92858796702239 0.0013932472425399 0.13400085896296 -0.605836651356595 TNFRSF13B "TNF receptor superfamily member 13B"
ILMN_3181538 -4.28428668618436 7.83099557238984 -7.84570975033862 7.17797286420599e-5 0.0366948676671405 2.1462775912544 C10orf105 "chromosome 10 open reading frame 105"
ILMN_2403965 -4.25950484881273 7.45182553317577 -4.81750420881096 0.00159298211650263 0.145264397724212 -0.736158512775964 TXNDC5 "thioredoxin domain containing 5"
ILMN_2403965 -4.25950484881273 7.45182553317577 -4.81750420881096 0.00159298211650263 0.145264397724212 -0.736158512775964 BLOC1S5-TXNDC5 "BLOC1S5-TXNDC5 readthrough (NMD candidate)"
ILMN_2232177 -4.2512056098878 9.67533383549038 -5.37685206352342 8.25842461771286e-4 0.104827462385661 -0.10070460336155 ACTN1 "actinin alpha 1"
ILMN_2083066 -4.24287343971132 9.91853288770403 -6.41441381549415 2.72248900636996e-4 0.0690151199614378 0.946816114173159 IGLL3P "immunoglobulin lambda like polypeptide 3, pseudogene"
ILMN_1781374 -4.21644681342179 6.8158038290123 -9.43596987612102 2.018598245425e-5 0.0293161023183072 3.20916358309147 TUFT1 "tuftelin 1"
ILMN_1771688 -4.14121640016064 8.8383268567484 -3.2954417824361 0.0119841297408374 0.317601306982084 -2.72405800088475 RAB7B "RAB7B, member RAS oncogene family"
ILMN_1788538 -4.10170872664991 8.82310204651137 -3.31777618895045 0.0116065869831812 0.31500702797902 -2.69243053266418 NCALD "neurocalcin delta"
ILMN_1676361 -4.06257089990398 7.48202173691796 -5.6712462712196 5.94523700573014e-4 0.0969468089391125 0.213320223976473 ARHGAP22 "Rho GTPase activating protein 22"
ILMN_1680274 -4.03349830032028 8.54949744334441 -5.58015805384041 6.57357454178632e-4 0.0988077509043198 0.117628169792455 NA NA
ILMN_1759023 -3.96970101470607 6.61201323327306 -4.82627185998479 0.00157612504703049 0.145264397724212 -0.725797413689381 WFS1 "wolframin ER transmembrane glycoprotein"
ILMN_1730816 3.9695928697149 8.64785457120675 5.0118570382801 0.00126158165087771 0.126358278039289 -0.509496463562278 GPR162 "G protein-coupled receptor 162"
ILMN_1810420 -3.9573754211555 6.73868212275489 -13.5270620086279 1.55668235425038e-6 0.0206774183807643 5.05433061362525 DYSF dysferlin
ILMN_1679401 3.94755794857454 8.11018035796902 4.13547370962925 0.00377241141195665 0.199951572758564 -1.58157862030787 TRPM4 "transient receptor potential cation channel subfamily M member 4"
ILMN_1655077 -3.91318650746376 7.07368433398601 -6.34751151057959 2.912914399667e-4 0.0690151199614378 0.884116981097236 PRDM1 "PR/SET domain 1"
ILMN_1911721 -3.87446571230498 7.77633021694034 -5.07388772905853 0.00117239869732497 0.121429909892441 -0.438477125834888 NA NA
ILMN_2086095 -3.84765181034163 10.1357558001381 -7.7827048902522 7.58001810930397e-5 0.0366948676671405 2.09876326990879 ID2 "inhibitor of DNA binding 2"
ILMN_1815500 -3.80876302070001 8.42649955518775 -3.85291949128575 0.00550197953021485 0.233290299457649 -1.9542013413009 ITPR3 "inositol 1,4,5-trisphosphate receptor type 3"
ILMN_2234343 -3.73111918613605 7.4812274165413 -8.15601620369021 5.51609582653509e-5 0.0341773920393818 2.37384603860891 ACP6 "acid phosphatase 6, lysophosphatidic"
ILMN_1805999 -3.72792449853583 6.6044927314638 -12.3352377524645 3.02550301746589e-6 0.0206774183807643 4.6189719293388 MYO1D "myosin ID"
ILMN_2386982 -3.69828848772886 6.70802158573987 -9.10794219529943 2.58179786271083e-5 0.0295358192288223 3.00984432937523 PRKCZ "protein kinase C zeta"
ILMN_2301083 -3.66053898160652 6.76336427832577 -7.94226936904131 6.60730644929743e-5 0.0366948676671405 2.21822932270099 UBE2C "ubiquitin conjugating enzyme E2 C"
